STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150801,193
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150901,181
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19151001,112
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19151101,50
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19151201,-18
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160101,-22
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160201,-59
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160301,-36
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160401,52
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160501,128
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160601,149
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160701,207
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160801,209
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19160901,172
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19161001,120
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19161101,46
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19161201,-16
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170101,-31
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170201,-51
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170301,10
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170401,49
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170501,84
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170601,172
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170701,212
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170801,217
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19170901,144
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19171001,92
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19171101,25
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19171201,-63
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180101,-80
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180201,-43
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180301,12
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180401,77
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180501,156
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180601,162
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180701,202
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180801,202
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19180901,145
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19181001,115
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19181101,46
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19181201,-16
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190101,-20
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190201,-28
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190301,23
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190401,65
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190501,143
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190601,181
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190701,213
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190801,181
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19190901,151
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19191001,105
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19191101,37
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19191201,-46
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200101,-89
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200201,-58
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200301,18
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200401,56
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200501,121
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200601,162
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200701,201
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200801,206
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19200901,163
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19201001,123
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19201101,24
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19201201,-10
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210101,-33
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210201,-30
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210301,57
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210401,92
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210501,128
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210601,190
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210701,220
